
2025/01/26 (09:53:17) | ===> btop++ v.1.4.0
2025/01/26 (09:53:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (17:56:49) | ===> btop++ v.1.4.0
2025/03/08 (17:56:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (18:36:07) | ===> btop++ v.1.4.0
2025/03/08 (18:36:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (18:45:47) | ===> btop++ v.1.4.0
2025/03/08 (18:45:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (18:55:44) | ===> btop++ v.1.4.0
2025/03/08 (18:55:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (18:57:55) | ===> btop++ v.1.4.0
2025/03/08 (18:57:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (10:59:46) | ===> btop++ v.1.4.0
2025/03/10 (10:59:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (11:56:55) | ===> btop++ v.1.4.0
2025/03/10 (11:56:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (12:53:47) | ===> btop++ v.1.4.0
2025/03/10 (12:53:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (12:54:50) | ===> btop++ v.1.4.0
2025/03/10 (12:54:50) | WARNING: Intel GPU: Failed to initialize PMU
